Index	Plate	Plate ID	Row	Column	Compound A	Conc. A [uM]	Compound B	Conc. B [uM]	Well Type	Masked	Well Tags	Timestamp	Raw	Normalized
1	1	ETECS02 FKH1_1	A	1	SW196654-6	50	SW196654-6	50	Compound			13.03.2020 01:48:00	963720	-25.44329
2	1	ETECS02 FKH1_1	A	2	SW196654-6	5	SW196654-6	50	Compound			13.03.2020 01:48:00	1300880	0.6405694
3	1	ETECS02 FKH1_1	A	3	SW196654-6	0.5	SW196654-6	50	Compound			13.03.2020 01:48:00	1262280	-2.34566
4	1	ETECS02 FKH1_1	A	4	SW196654-6	0.05	SW196654-6	50	Compound			13.03.2020 01:48:00	1277200	-1.191397
5	1	ETECS02 FKH1_1	A	5	SW196654-6	0.005	SW196654-6	50	Compound			13.03.2020 01:48:00	1295760	0.2444685
6	1	ETECS02 FKH1_1	A	6	SW196654-6	0.0005	SW196654-6	50	Compound			13.03.2020 01:48:00	1184840	-8.336686
7	1	ETECS02 FKH1_1	A	7	SW196654-6	5.000000E-5	SW196654-6	50	Compound			13.03.2020 01:48:00	1290360	-0.1732941
8	1	ETECS02 FKH1_1	A	8	SW196654-6	0	SW196654-6	50	Compound			13.03.2020 01:48:00	1175600	-9.051524
9	1	ETECS02 FKH1_1	A	9	SW196654-6	50	SW197516-3	0.2	Compound			13.03.2020 01:48:00	351000	-72.84543
10	1	ETECS02 FKH1_1	A	10	SW196654-6	5	SW197516-3	0.2	Compound			13.03.2020 01:48:00	149080	-88.46665
11	1	ETECS02 FKH1_1	A	11	SW196654-6	0.5	SW197516-3	0.2	Compound			13.03.2020 01:48:00	150840	-88.3305
12	1	ETECS02 FKH1_1	A	12	SW196654-6	0.05	SW197516-3	0.2	Compound			13.03.2020 01:48:00	149680	-88.42023
13	1	ETECS02 FKH1_1	A	13	SW196654-6	0.005	SW197516-3	0.2	Compound			13.03.2020 01:48:00	143920	-88.86585
14	1	ETECS02 FKH1_1	A	14	SW196654-6	0.0005	SW197516-3	0.2	Compound			13.03.2020 01:48:00	155400	-87.97772
15	1	ETECS02 FKH1_1	A	15	SW196654-6	5.000000E-5	SW197516-3	0.2	Compound			13.03.2020 01:48:00	141400	-89.06081
16	1	ETECS02 FKH1_1	A	16	SW196654-6	0	SW197516-3	0.2	Compound			13.03.2020 01:48:00	126800	-90.19032
17	1	ETECS02 FKH1_1	A	17	SW196654-6	50	SW198953-3	1	Compound			13.03.2020 01:48:00	7120	-99.44917
18	1	ETECS02 FKH1_1	A	18	SW196654-6	5	SW198953-3	1	Compound			13.03.2020 01:48:00	6040	-99.53272
19	1	ETECS02 FKH1_1	A	19	SW196654-6	0.5	SW198953-3	1	Compound			13.03.2020 01:48:00	6560	-99.49249
20	1	ETECS02 FKH1_1	A	20	SW196654-6	0.05	SW198953-3	1	Compound			13.03.2020 01:48:00	5080	-99.60699
21	1	ETECS02 FKH1_1	A	21	SW196654-6	0.005	SW198953-3	1	Compound			13.03.2020 01:48:00	4320	-99.66579
22	1	ETECS02 FKH1_1	A	22	SW196654-6	0.0005	SW198953-3	1	Compound			13.03.2020 01:48:00	4680	-99.63794
23	1	ETECS02 FKH1_1	A	23	SW196654-6	5.000000E-5	SW198953-3	1	Compound			13.03.2020 01:48:00	3920	-99.69673
24	1	ETECS02 FKH1_1	A	24	SW196654-6	0	SW198953-3	1	Compound			13.03.2020 01:48:00	3680	-99.7153
25	1	ETECS02 FKH1_1	B	1	SW196654-6	50	SW196654-6	5	Compound			13.03.2020 01:48:00	1365480	5.638248
26	1	ETECS02 FKH1_1	B	2	SW196654-6	5	SW196654-6	5	Compound			13.03.2020 01:48:00	1589200	22.946
27	1	ETECS02 FKH1_1	B	3	SW196654-6	0.5	SW196654-6	5	Compound			13.03.2020 01:48:00	1634400	26.44283
28	1	ETECS02 FKH1_1	B	4	SW196654-6	0.05	SW196654-6	5	Compound			13.03.2020 01:48:00	1636880	26.63469
29	1	ETECS02 FKH1_1	B	5	SW196654-6	0.005	SW196654-6	5	Compound			13.03.2020 01:48:00	1690760	30.80303
30	1	ETECS02 FKH1_1	B	6	SW196654-6	0.0005	SW196654-6	5	Compound			13.03.2020 01:48:00	1759720	36.13802
31	1	ETECS02 FKH1_1	B	7	SW196654-6	5.000000E-5	SW196654-6	5	Compound			13.03.2020 01:48:00	1716000	32.75569
32	1	ETECS02 FKH1_1	B	8	SW196654-6	0	SW196654-6	5	Compound			13.03.2020 01:48:00	1720080	33.07133
33	1	ETECS02 FKH1_1	B	9	SW196654-6	50	SW197516-3	0.06666667	Compound			13.03.2020 01:48:00	497800	-61.48847
34	1	ETECS02 FKH1_1	B	10	SW196654-6	5	SW197516-3	0.06666667	Compound			13.03.2020 01:48:00	413000	-68.0489
35	1	ETECS02 FKH1_1	B	11	SW196654-6	0.5	SW197516-3	0.06666667	Compound			13.03.2020 01:48:00	411200	-68.18815
36	1	ETECS02 FKH1_1	B	12	SW196654-6	0.05	SW197516-3	0.06666667	Compound			13.03.2020 01:48:00	394000	-69.5188
37	1	ETECS02 FKH1_1	B	13	SW196654-6	0.005	SW197516-3	0.06666667	Compound			13.03.2020 01:48:00	382280	-70.4255
38	1	ETECS02 FKH1_1	B	14	SW196654-6	0.0005	SW197516-3	0.06666667	Compound			13.03.2020 01:48:00	354840	-72.54836
39	1	ETECS02 FKH1_1	B	15	SW196654-6	5.000000E-5	SW197516-3	0.06666667	Compound			13.03.2020 01:48:00	442480	-65.76822
40	1	ETECS02 FKH1_1	B	16	SW196654-6	0	SW197516-3	0.06666667	Compound			13.03.2020 01:48:00	419040	-67.58162
41	1	ETECS02 FKH1_1	B	17	SW196654-6	50	SW198953-3	0.4	Compound			13.03.2020 01:48:00	14120	-98.90763
42	1	ETECS02 FKH1_1	B	18	SW196654-6	5	SW198953-3	0.4	Compound			13.03.2020 01:48:00	23080	-98.21445
43	1	ETECS02 FKH1_1	B	19	SW196654-6	0.5	SW198953-3	0.4	Compound			13.03.2020 01:48:00	23520	-98.18041
44	1	ETECS02 FKH1_1	B	20	SW196654-6	0.05	SW198953-3	0.4	Compound			13.03.2020 01:48:00	17640	-98.63531
45	1	ETECS02 FKH1_1	B	21	SW196654-6	0.005	SW198953-3	0.4	Compound			13.03.2020 01:48:00	13640	-98.94476
46	1	ETECS02 FKH1_1	B	22	SW196654-6	0.0005	SW198953-3	0.4	Compound			13.03.2020 01:48:00	9960	-99.22946
47	1	ETECS02 FKH1_1	B	23	SW196654-6	5.000000E-5	SW198953-3	0.4	Compound			13.03.2020 01:48:00	7280	-99.43679
48	1	ETECS02 FKH1_1	B	24	SW196654-6	0	SW198953-3	0.4	Compound			13.03.2020 01:48:00	6800	-99.47393
