Index	Plate	Plate ID	Row	Column	Compound A	Conc. A [uM]	Compound B	Conc. B [uM]	Well Type	Masked	Well Tags	Timestamp	Raw	Normalized
1	1	ETECS02 Kasumi1_1	A	1	SW196654-6	50	SW196654-6	50	Compound			21.01.2020 04:35:00	3157320	-58.20264
2	1	ETECS02 Kasumi1_1	A	2	SW196654-6	25	SW196654-6	50	Compound			21.01.2020 04:35:00	2922760	-61.51202
3	1	ETECS02 Kasumi1_1	A	3	SW196654-6	12.5	SW196654-6	50	Compound			21.01.2020 04:35:00	2886080	-62.02954
4	1	ETECS02 Kasumi1_1	A	4	SW196654-6	6.25	SW196654-6	50	Compound			21.01.2020 04:35:00	2934760	-61.34272
5	1	ETECS02 Kasumi1_1	A	5	SW196654-6	3.125	SW196654-6	50	Compound			21.01.2020 04:35:00	3183800	-57.82903
6	1	ETECS02 Kasumi1_1	A	6	SW196654-6	1.5625	SW196654-6	50	Compound			21.01.2020 04:35:00	3304560	-56.12524
7	1	ETECS02 Kasumi1_1	A	7	SW196654-6	7.81E-01	SW196654-6	50	Compound			21.01.2020 04:35:00	3294320	-56.26972
8	1	ETECS02 Kasumi1_1	A	8	SW196654-6	0	SW196654-6	50	Compound			21.01.2020 04:35:00	3688000	-50.71532
9	1	ETECS02 Kasumi1_1	A	9	SW196654-6	50	SW197516-3	0.01	Compound			21.01.2020 04:35:00	1428320	-82.59694
10	1	ETECS02 Kasumi1_1	A	10	SW196654-6	25	SW197516-3	0.01	Compound			21.01.2020 04:35:00	1400920	-82.98353
11	1	ETECS02 Kasumi1_1	A	11	SW196654-6	12.5	SW197516-3	0.01	Compound			21.01.2020 04:35:00	1651520	-79.44783
12	1	ETECS02 Kasumi1_1	A	12	SW196654-6	6.25	SW197516-3	0.01	Compound			21.01.2020 04:35:00	1944520	-75.31393
13	1	ETECS02 Kasumi1_1	A	13	SW196654-6	3.125	SW197516-3	0.01	Compound			21.01.2020 04:35:00	1877000	-76.26656
14	1	ETECS02 Kasumi1_1	A	14	SW196654-6	1.5625	SW197516-3	0.01	Compound			21.01.2020 04:35:00	1859320	-76.516
15	1	ETECS02 Kasumi1_1	A	15	SW196654-6	7.81E-01	SW197516-3	0.01	Compound			21.01.2020 04:35:00	2224520	-71.36343
16	1	ETECS02 Kasumi1_1	A	16	SW196654-6	0	SW197516-3	0.01	Compound			21.01.2020 04:35:00	2240560	-71.13712
17	1	ETECS02 Kasumi1_1	A	17	SW196654-6	50	SW198953-3	0.1	Compound			21.01.2020 04:35:00	879200	-90.34443
18	1	ETECS02 Kasumi1_1	A	18	SW196654-6	25	SW198953-3	0.1	Compound			21.01.2020 04:35:00	933640	-89.57634
19	1	ETECS02 Kasumi1_1	A	19	SW196654-6	12.5	SW198953-3	0.1	Compound			21.01.2020 04:35:00	1113000	-87.04576
20	1	ETECS02 Kasumi1_1	A	20	SW196654-6	6.25	SW198953-3	0.1	Compound			21.01.2020 04:35:00	1213640	-85.62584
21	1	ETECS02 Kasumi1_1	A	21	SW196654-6	3.125	SW198953-3	0.1	Compound			21.01.2020 04:35:00	1419880	-82.71602
22	1	ETECS02 Kasumi1_1	A	22	SW196654-6	1.5625	SW198953-3	0.1	Compound			21.01.2020 04:35:00	1518880	-81.31924
23	1	ETECS02 Kasumi1_1	A	23	SW196654-6	7.81E-01	SW198953-3	0.1	Compound			21.01.2020 04:35:00	1597720	-80.20689
24	1	ETECS02 Kasumi1_1	A	24	SW196654-6	0	SW198953-3	0.1	Compound			21.01.2020 04:35:00	1522200	-81.2724
25	1	ETECS02 Kasumi1_1	B	1	SW196654-6	50	SW196654-6	25	Compound			21.01.2020 04:35:00	3326880	-55.81033
26	1	ETECS02 Kasumi1_1	B	2	SW196654-6	25	SW196654-6	25	Compound			21.01.2020 04:35:00	3360920	-55.33006
27	1	ETECS02 Kasumi1_1	B	3	SW196654-6	12.5	SW196654-6	25	Compound			21.01.2020 04:35:00	3442760	-54.17539
28	1	ETECS02 Kasumi1_1	B	4	SW196654-6	6.25	SW196654-6	25	Compound			21.01.2020 04:35:00	3859840	-48.29085
29	1	ETECS02 Kasumi1_1	B	5	SW196654-6	3.125	SW196654-6	25	Compound			21.01.2020 04:35:00	3525320	-53.01056
30	1	ETECS02 Kasumi1_1	B	6	SW196654-6	1.5625	SW196654-6	25	Compound			21.01.2020 04:35:00	3758160	-49.72544
31	1	ETECS02 Kasumi1_1	B	7	SW196654-6	7.81E-01	SW196654-6	25	Compound			21.01.2020 04:35:00	3607680	-51.84855
32	1	ETECS02 Kasumi1_1	B	8	SW196654-6	0	SW196654-6	25	Compound			21.01.2020 04:35:00	3880680	-47.99682
33	1	ETECS02 Kasumi1_1	B	9	SW196654-6	50	SW197516-3	0.005	Compound			21.01.2020 04:35:00	2357160	-69.49202
34	1	ETECS02 Kasumi1_1	B	10	SW196654-6	25	SW197516-3	0.005	Compound			21.01.2020 04:35:00	1885000	-76.15369
35	1	ETECS02 Kasumi1_1	B	11	SW196654-6	12.5	SW197516-3	0.005	Compound			21.01.2020 04:35:00	1769280	-77.78637
36	1	ETECS02 Kasumi1_1	B	12	SW196654-6	6.25	SW197516-3	0.005	Compound			21.01.2020 04:35:00	1652760	-79.43034
37	1	ETECS02 Kasumi1_1	B	13	SW196654-6	3.125	SW197516-3	0.005	Compound			21.01.2020 04:35:00	1823680	-77.01884
38	1	ETECS02 Kasumi1_1	B	14	SW196654-6	1.5625	SW197516-3	0.005	Compound			21.01.2020 04:35:00	1805360	-77.27732
39	1	ETECS02 Kasumi1_1	B	15	SW196654-6	7.81E-01	SW197516-3	0.005	Compound			21.01.2020 04:35:00	1874120	-76.30719
40	1	ETECS02 Kasumi1_1	B	16	SW196654-6	0	SW197516-3	0.005	Compound			21.01.2020 04:35:00	1786560	-77.54256
41	1	ETECS02 Kasumi1_1	B	17	SW196654-6	50	SW198953-3	0.0333	Compound			21.01.2020 04:35:00	2369440	-69.31876
42	1	ETECS02 Kasumi1_1	B	18	SW196654-6	25	SW198953-3	0.0333	Compound			21.01.2020 04:35:00	2592600	-66.17022
43	1	ETECS02 Kasumi1_1	B	19	SW196654-6	12.5	SW198953-3	0.0333	Compound			21.01.2020 04:35:00	2407880	-68.77642
44	1	ETECS02 Kasumi1_1	B	20	SW196654-6	6.25	SW198953-3	0.0333	Compound			21.01.2020 04:35:00	2591560	-66.18489
45	1	ETECS02 Kasumi1_1	B	21	SW196654-6	3.125	SW198953-3	0.0333	Compound			21.01.2020 04:35:00	2562880	-66.58954
46	1	ETECS02 Kasumi1_1	B	22	SW196654-6	1.5625	SW198953-3	0.0333	Compound			21.01.2020 04:35:00	2652280	-65.3282
47	1	ETECS02 Kasumi1_1	B	23	SW196654-6	7.81E-01	SW198953-3	0.0333	Compound			21.01.2020 04:35:00	2671440	-65.05788
48	1	ETECS02 Kasumi1_1	B	24	SW196654-6	0	SW198953-3	0.0333	Compound			21.01.2020 04:35:00	2864840	-62.32921
49	1	ETECS02 Kasumi1_1	C	1	SW196654-6	50	SW196654-6	12.5	Compound			21.01.2020 04:35:00	3497760	-53.3994
50	1	ETECS02 Kasumi1_1	C	2	SW196654-6	25	SW196654-6	12.5	Compound			21.01.2020 04:35:00	3618440	-51.69674
51	1	ETECS02 Kasumi1_1	C	3	SW196654-6	12.5	SW196654-6	12.5	Compound			21.01.2020 04:35:00	3610280	-51.81187
52	1	ETECS02 Kasumi1_1	C	4	SW196654-6	6.25	SW196654-6	12.5	Compound			21.01.2020 04:35:00	4029520	-45.89685
53	1	ETECS02 Kasumi1_1	C	5	SW196654-6	3.125	SW196654-6	12.5	Compound			21.01.2020 04:35:00	3790800	-49.26493
54	1	ETECS02 Kasumi1_1	C	6	SW196654-6	1.5625	SW196654-6	12.5	Compound			21.01.2020 04:35:00	4041560	-45.72697
55	1	ETECS02 Kasumi1_1	C	7	SW196654-6	7.81E-01	SW196654-6	12.5	Compound			21.01.2020 04:35:00	3936160	-47.21405
56	1	ETECS02 Kasumi1_1	C	8	SW196654-6	0	SW196654-6	12.5	Compound			21.01.2020 04:35:00	4407360	-40.56594
57	1	ETECS02 Kasumi1_1	C	9	SW196654-6	50	SW197516-3	0.0025	Compound			21.01.2020 04:35:00	2917520	-61.58595
58	1	ETECS02 Kasumi1_1	C	10	SW196654-6	25	SW197516-3	0.0025	Compound			21.01.2020 04:35:00	3172360	-57.99044
59	1	ETECS02 Kasumi1_1	C	11	SW196654-6	12.5	SW197516-3	0.0025	Compound			21.01.2020 04:35:00	3050160	-59.71455
60	1	ETECS02 Kasumi1_1	C	12	SW196654-6	6.25	SW197516-3	0.0025	Compound			21.01.2020 04:35:00	2894280	-61.91385
